contrast,B,SE,t,df,n_unique_dyad,p_penalized,ROI,signal_type,stimulus,variable,p_fdr
HHvsLL,0.06051850417835423,0.039608761809452955,1.5279069936468197,4464,4466,0.12667732431561823,dmPFC,HbO,Zima,loneliness,0.33214162463297797
HHvsLH,0.05181820009655013,0.02873422276919512,1.8033618139865775,4464,4466,0.07146621524384843,dmPFC,HbO,Zima,loneliness,0.16079898429865896
LHvsLL,0.008700304081804097,0.02895013018659706,0.3005272869491981,4464,4466,0.7638029746187817,dmPFC,HbO,Zima,loneliness,0.8571647182343616
HHvsLL,0.029396235946983568,0.0430630739807254,0.6826320842803983,5150,5152,0.49490075949520274,dmPFC,HbO,Splitscreen,loneliness,0.5567633544321031
HHvsLH,0.02434985221493332,0.029910709336218907,0.8140847460761507,5150,5152,0.4156716783956066,dmPFC,HbO,Splitscreen,loneliness,0.4676306381950574
LHvsLL,0.005046383732050248,0.02803506570968814,0.1800025647989246,5150,5152,0.8571647182343616,dmPFC,HbO,Splitscreen,loneliness,0.8571647182343616
HHvsLL,0.037670561827573716,0.03552299362935683,1.060455721176666,4464,4466,0.2890520605062333,dmPFC,HbR,Zima,loneliness,0.3750364950173385
HHvsLH,0.05639820358393975,0.027388248361200834,2.0592117772612086,4464,4466,0.039589723295498445,dmPFC,HbR,Zima,loneliness,0.16079898429865896
LHvsLL,-0.018727641756366036,0.02761759604510855,-0.6781054269089056,4464,4466,0.49777514083476415,dmPFC,HbR,Zima,loneliness,0.8571647182343616
HHvsLL,0.05148131193480232,0.045896805446569364,1.1216752763922566,5150,5152,0.2621051184398382,ldlPFC,HbO,Splitscreen,loneliness,0.3750364950173385
HHvsLH,0.03469917001973392,0.0308970060849384,1.1230592998021574,5150,5152,0.26151700671541306,ldlPFC,HbO,Splitscreen,loneliness,0.33623615149124536
LHvsLL,0.016782141915068403,0.029098874025632767,0.5767282232393344,5150,5152,0.5641734744895268,ldlPFC,HbO,Splitscreen,loneliness,0.8571647182343616
HHvsLL,0.05950076672506423,0.04107788093929491,1.4484867613544805,4559,4561,0.1476184998368791,rdlPFC,HbO,Zima,loneliness,0.33214162463297797
HHvsLH,0.04676598553811075,0.02891711922319209,1.6172422009659775,4559,4561,0.10596437173334063,rdlPFC,HbO,Zima,loneliness,0.19073586912001314
LHvsLL,0.012734781186953474,0.029444483343223762,0.4325014312021952,4559,4561,0.6654179244469691,rdlPFC,HbO,Zima,loneliness,0.8571647182343616
HHvsLL,0.018901303044432816,0.035369951152822765,0.534388723432669,4559,4561,0.5931247329397562,rdlPFC,HbR,Zima,loneliness,0.5931247329397562
HHvsLH,0.03953044429087364,0.027005544448139056,1.463789940128301,4559,4561,0.14338923185168098,rdlPFC,HbR,Zima,loneliness,0.2150838477775215
LHvsLL,-0.020629141246440826,0.027578289097177047,-0.7480210673602828,4559,4561,0.4545246134350801,rdlPFC,HbR,Zima,loneliness,0.8571647182343616
HHvsLL,0.05610787646026204,0.03182328413628636,1.7631076736132738,5252,5254,0.07799862233376219,rdlPFC,HbR,Splitscreen,loneliness,0.33214162463297797
HHvsLH,0.04791444684401603,0.02598007029109383,1.8442770287823846,5252,5254,0.06525534919598559,rdlPFC,HbR,Splitscreen,loneliness,0.16079898429865896
LHvsLL,0.008193429616246008,0.02414787012302239,0.3393023721969772,5252,5254,0.7344090873112405,rdlPFC,HbR,Splitscreen,loneliness,0.8571647182343616
HHvsLL,0.04163633257614069,0.03947901124376697,1.0546447660265128,4752,4754,0.29169505168015214,rTPJ,HbO,Splitscreen,loneliness,0.3750364950173385
HHvsLH,0.020280076140813556,0.029055036346396442,0.6979883246068903,4752,4754,0.4852527958007826,rTPJ,HbO,Splitscreen,loneliness,0.4852527958007826
LHvsLL,0.021356256435327133,0.02750109802762262,0.7765601363944271,4752,4754,0.4374956260452382,rTPJ,HbO,Splitscreen,loneliness,0.8571647182343616
HHvsLL,0.06721752582286226,0.036251398981743135,1.8542050158316437,4185,4187,0.06385045093618803,rTPJ,HbR,Zima,loneliness,0.33214162463297797
HHvsLH,0.0608338098666294,0.027938556911720078,2.1774141756444814,4185,4187,0.029561065671309814,rTPJ,HbR,Zima,loneliness,0.16079898429865896
LHvsLL,0.006383715956232862,0.02859356047247933,0.2232571198111913,4185,4187,0.8233571902770116,rTPJ,HbR,Zima,loneliness,0.8571647182343616
HHvsLL,-0.13517455137033474,0.04061064560803914,-3.3285496782049693,4464,4466,8.871774824100837e-4,dmPFC,HbO,Zima,MW_state,0.007984597341690753
HHvsLH,-0.04331116312739436,0.0323472268599612,-1.338945168774394,4464,4466,0.1807248684661488,dmPFC,HbO,Zima,MW_state,0.9465561453248984
LHvsLL,-0.09186338824294038,0.02663843337339431,-3.4485281831434893,4464,4466,5.741043023693659e-4,dmPFC,HbO,Zima,MW_state,0.005166938721324293
HHvsLL,0.014275006000591974,0.046024748281388445,0.3101593497767053,5150,5152,0.756464880876655,dmPFC,HbO,Splitscreen,MW_state,0.756464880876655
HHvsLH,0.039256521043829984,0.03352008561324221,1.1711342714566808,5150,5152,0.24165316989262173,dmPFC,HbO,Splitscreen,MW_state,0.9465561453248984
LHvsLL,-0.02498151504323801,0.027494407040335612,-0.9086035209484217,5150,5152,0.3636444761345268,dmPFC,HbO,Splitscreen,MW_state,0.3636444761345268
HHvsLL,-0.0386298870791502,0.03707729947144391,-1.0418743444058556,4464,4466,0.29758277630170765,dmPFC,HbR,Zima,MW_state,0.38260642667362416
HHvsLH,0.009476991683925835,0.031317754706111714,0.3026076349616591,4464,4466,0.762217092559047,dmPFC,HbR,Zima,MW_state,0.9465561453248984
LHvsLL,-0.04810687876307604,0.02534478640469642,-1.898097620351686,4464,4466,0.05781212020990588,dmPFC,HbR,Zima,MW_state,0.09136422607409168
HHvsLL,-0.08583778874318368,0.04907048745769035,-1.7492752403813985,5150,5152,0.08036258449134753,ldlPFC,HbO,Splitscreen,MW_state,0.18081581510553196
HHvsLH,-0.025848211869390073,0.03452187176715974,-0.7487488524298146,5150,5152,0.4540769787109751,ldlPFC,HbO,Splitscreen,MW_state,0.9465561453248984
LHvsLL,-0.05998957687379361,0.028753320328769913,-2.086353025941474,5150,5152,0.037044827384573244,ldlPFC,HbO,Splitscreen,MW_state,0.0833508616152898
HHvsLL,-0.09328499652201183,0.04255547111254851,-2.192079986032736,4559,4561,0.028474534498559242,rdlPFC,HbO,Zima,MW_state,0.12813540524351658
HHvsLH,-0.020688776330491973,0.0324855198186205,-0.636861483085559,4559,4561,0.524279023082609,rdlPFC,HbO,Zima,MW_state,0.9465561453248984
LHvsLL,-0.07259622019151986,0.02743748639068524,-2.645877219137886,4559,4561,0.00820394041818863,rdlPFC,HbO,Zima,MW_state,0.03691773188184883
HHvsLL,-0.04456223112288258,0.03662049370774328,-1.216865929731036,4559,4561,0.22378120224429873,rdlPFC,HbR,Zima,MW_state,0.38260642667362416
HHvsLH,-0.002057546252856873,0.030691556269139653,-0.06703948912899327,4559,4561,0.9465561453248984,rdlPFC,HbR,Zima,MW_state,0.9465561453248984
LHvsLL,-0.042504684870025705,0.025244676374717556,-1.6837088437621637,4559,4561,0.09237487006444495,rdlPFC,HbR,Zima,MW_state,0.1187676900828578
HHvsLL,-0.060799280669843275,0.03347787903996837,-1.8161031228189992,5252,5254,0.06946853593702168,rdlPFC,HbR,Splitscreen,MW_state,0.18081581510553196
HHvsLH,-0.012361357975901146,0.02930954043281471,-0.42175202317609445,5252,5254,0.6732405495450473,rdlPFC,HbR,Splitscreen,MW_state,0.9465561453248984
LHvsLL,-0.04843792269394213,0.022684176648252397,-2.1353176465266954,5252,5254,0.032827357076946825,rdlPFC,HbR,Splitscreen,MW_state,0.0833508616152898
HHvsLL,-0.04586989824982435,0.04176304977061894,-1.0983368911456906,4752,4754,0.2721686944147725,rTPJ,HbO,Splitscreen,MW_state,0.38260642667362416
HHvsLH,0.0034486874275014177,0.032703839937490806,0.10545206416412083,4752,4754,0.9160260063962062,rTPJ,HbO,Splitscreen,MW_state,0.9465561453248984
LHvsLL,-0.04931858567732576,0.02630265357123302,-1.87504220985768,4752,4754,0.060909484049394454,rTPJ,HbO,Splitscreen,MW_state,0.09136422607409168
HHvsLL,-0.030366927551657128,0.03799583602359773,-0.7992172493006184,4185,4187,0.42425515968419314,rTPJ,HbR,Zima,MW_state,0.47728705464471727
HHvsLH,0.009780196384332971,0.03213595163942438,0.3043381597679102,4185,4187,0.7609005379705015,rTPJ,HbR,Zima,MW_state,0.9465561453248984
LHvsLL,-0.0401471239359901,0.026147929181791433,-1.5353844526987341,4185,4187,0.12484060042414788,rTPJ,HbR,Zima,MW_state,0.14044567547716635
